,Age,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
742,0.7619047619047619,1.0,0.2857142857142857,0.0,1.0,0.0,1.0,0.0721958925750395,0.4444444444444444,0.0,0.4999999999999999,0.0,0.0,0.2,0.8333333333333333,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2203,0.380952380952381,1.0,0.0,0.6666666666666667,1.0,0.0,0.6666666666666667,0.08825697735650342,0.1111111111111111,1.0,0.1428571428571428,0.0,0.0,0.225,0.3333333333333333,0.225,0.4444444444444444,0.4,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,0.16666666666666669,1.0,0.0,0.0,0.0,0.25,0.6666666666666667,0.20479199578725646,0.0,0.0,0.0714285714285714,0.0,0.6666666666666666,0.125,0.5,0.1,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1283,0.23809523809523808,1.0,0.0,0.6666666666666667,1.0,0.0,1.0,0.054502369668246446,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.125,1.0,0.125,0.16666666666666666,0.0,0.1764705882352941,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1727,0.4047619047619047,0.5,0.4642857142857143,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6655081621906267,0.5555555555555556,1.0,0.0714285714285714,0.0,0.0,0.4,0.3333333333333333,0.25,0.3333333333333333,0.5333333333333333,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1367,0.21428571428571425,1.0,0.03571428571428571,0.3333333333333333,1.0,0.0,0.3333333333333333,0.06408636124275935,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.15000000000000002,0.5,0.125,0.16666666666666666,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1445,0.5476190476190477,1.0,0.9642857142857143,0.0,0.0,0.75,0.3333333333333333,0.6614533965244865,0.0,0.0,0.8571428571428571,1.0,0.3333333333333333,0.525,0.5,0.5,0.38888888888888884,0.0,0.5882352941176471,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2001,0.28571428571428564,0.5,0.75,0.0,0.0,0.25,0.6666666666666667,0.18520273828330702,0.3333333333333333,0.0,0.5714285714285713,0.0,0.0,0.275,0.5,0.25,0.2777777777777778,0.13333333333333333,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,0.5714285714285714,1.0,0.10714285714285714,0.6666666666666667,1.0,1.0,1.0,0.9596103212216957,0.1111111111111111,0.0,0.0,0.0,0.0,0.55,0.5,0.55,0.9444444444444444,0.7333333333333333,0.8823529411764706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
285,0.4523809523809524,1.0,0.0,1.0,0.0,0.0,1.0,0.05824117956819378,0.1111111111111111,0.0,0.0714285714285714,0.0,0.0,0.42500000000000004,0.5,0.42500000000000004,0.6666666666666666,0.3333333333333333,0.4117647058823529,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
215,0.5476190476190477,1.0,0.17857142857142855,1.0,0.0,0.5,1.0,0.6625592417061611,0.3333333333333333,1.0,0.4999999999999999,0.0,0.0,0.4,0.5,0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1493,0.07142857142857145,0.5,0.17857142857142855,0.3333333333333333,0.0,0.0,0.6666666666666667,0.09994734070563455,0.1111111111111111,1.0,0.4285714285714285,0.0,0.0,0.07500000000000001,0.6666666666666666,0.07500000000000001,0.05555555555555555,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401,0.23809523809523808,1.0,0.7857142857142857,0.6666666666666667,0.0,0.0,0.3333333333333333,0.08077935755660876,0.4444444444444444,0.0,0.2857142857142857,0.0,0.0,0.125,0.3333333333333333,0.025,0.05555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
874,0.28571428571428564,1.0,0.2142857142857143,0.6666666666666667,1.0,0.25,0.6666666666666667,0.13070036861506057,0.1111111111111111,0.0,0.1428571428571428,0.0,1.0,0.25,0.6666666666666666,0.25,0.38888888888888884,0.5333333333333333,0.5294117647058824,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
242,0.5476190476190477,1.0,0.6428571428571428,0.6666666666666667,1.0,0.25,0.0,0.10863612427593472,0.2222222222222222,0.0,0.3571428571428571,0.0,0.6666666666666666,0.42500000000000004,0.3333333333333333,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1689,0.4523809523809524,0.5,0.14285714285714285,0.6666666666666667,0.0,0.0,0.0,0.07356503422854135,0.6666666666666666,0.0,0.6428571428571427,0.0,0.0,0.17500000000000002,0.3333333333333333,0.05,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588,0.2619047619047619,0.5,0.10714285714285714,0.3333333333333333,0.0,0.0,0.6666666666666667,0.06250658241179569,0.6666666666666666,0.0,0.0,0.0,0.0,0.17500000000000002,0.16666666666666666,0.125,0.2222222222222222,0.06666666666666667,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,0.4047619047619047,1.0,0.9642857142857143,0.3333333333333333,1.0,0.25,0.6666666666666667,0.1262769878883623,0.1111111111111111,0.0,0.4285714285714285,0.0,0.6666666666666666,0.25,0.5,0.25,0.5,0.4,0.47058823529411764,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
339,0.21428571428571425,1.0,0.25,0.3333333333333333,0.0,0.25,0.3333333333333333,0.2740916271721959,0.1111111111111111,0.0,0.4999999999999999,0.0,0.3333333333333333,0.2,0.5,0.2,0.38888888888888884,0.0,0.4117647058823529,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
163,0.9285714285714284,1.0,0.8214285714285714,0.6666666666666667,1.0,0.5,1.0,0.4439178515007899,0.3333333333333333,1.0,0.3571428571428571,0.0,0.3333333333333333,0.30000000000000004,0.3333333333333333,0.125,0.16666666666666666,0.06666666666666667,0.23529411764705882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
416,0.4761904761904761,0.5,0.03571428571428571,1.0,1.0,0.0,1.0,0.03649289099526066,0.1111111111111111,1.0,0.8571428571428571,1.0,0.3333333333333333,0.025,0.5,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2297,0.6428571428571428,0.5,0.8571428571428571,0.3333333333333333,0.0,0.25,0.6666666666666667,0.283464981569247,0.3333333333333333,1.0,0.0714285714285714,0.0,0.0,0.2,0.5,0.125,0.2222222222222222,0.06666666666666667,0.11764705882352941,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1221,0.6428571428571428,0.0,0.0,0.6666666666666667,1.0,0.5,0.6666666666666667,0.5128488678251711,0.3333333333333333,0.0,0.8571428571428571,1.0,0.3333333333333333,0.625,0.5,0.5750000000000001,0.8333333333333333,0.9333333333333333,0.23529411764705882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1379,0.21428571428571425,0.5,0.75,0.0,0.0,0.0,0.3333333333333333,0.09763033175355451,0.1111111111111111,0.0,0.0714285714285714,0.0,0.0,0.025,0.3333333333333333,0.025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
411,0.9999999999999998,1.0,0.2142857142857143,0.0,0.0,1.0,0.0,0.9771985255397578,0.5555555555555556,0.0,0.0,0.0,0.0,0.8250000000000001,0.8333333333333333,0.7250000000000001,0.4444444444444444,0.7333333333333333,0.5882352941176471,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1914,0.2619047619047619,0.5,0.2142857142857143,0.3333333333333333,0.0,0.0,0.6666666666666667,0.06161137440758294,0.5555555555555556,0.0,0.0,0.0,0.0,0.125,0.0,0.07500000000000001,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,0.4523809523809524,1.0,0.0,0.0,1.0,0.5,0.6666666666666667,0.5055292259083728,0.5555555555555556,0.0,0.0,0.0,0.0,0.42500000000000004,0.3333333333333333,0.35000000000000003,0.05555555555555555,0.7333333333333333,0.4117647058823529,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
158,0.5238095238095237,1.0,0.10714285714285714,0.6666666666666667,1.0,0.5,1.0,0.5184834123222749,0.7777777777777777,0.0,0.0,0.0,0.3333333333333333,0.375,0.3333333333333333,0.30000000000000004,0.611111111111111,0.13333333333333333,0.6470588235294118,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
892,0.02380952380952378,0.0,0.3214285714285714,0.0,0.0,0.0,0.3333333333333333,0.04476040021063717,0.1111111111111111,1.0,0.9999999999999999,1.0,0.0,0.025,0.3333333333333333,0.025,0.05555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
739,0.21428571428571425,1.0,0.03571428571428571,0.0,0.0,0.25,1.0,0.16945760926803582,0.0,0.0,0.4999999999999999,0.0,0.3333333333333333,0.1,0.3333333333333333,0.07500000000000001,0.1111111111111111,0.13333333333333333,0.11764705882352941,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1444,0.9047619047619047,1.0,0.2142857142857143,1.0,1.0,0.0,0.6666666666666667,0.07003686150605581,0.8888888888888888,0.0,0.0,0.0,0.3333333333333333,0.35000000000000003,0.6666666666666666,0.25,0.5,0.6,0.47058823529411764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
313,0.35714285714285715,0.5,0.14285714285714285,1.0,0.0,0.5,0.3333333333333333,0.5723538704581359,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.30000000000000004,0.3333333333333333,0.25,0.3333333333333333,0.5333333333333333,0.47058823529411764,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2445,0.14285714285714285,0.5,0.2142857142857143,0.3333333333333333,0.0,0.0,0.3333333333333333,0.08562401263823066,0.2222222222222222,0.0,0.3571428571428571,0.0,0.0,0.1,0.5,0.07500000000000001,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1449,0.3333333333333333,1.0,0.03571428571428571,1.0,1.0,0.0,0.0,0.07530279094260137,0.1111111111111111,0.0,0.2142857142857143,0.0,0.0,0.1,0.6666666666666666,0.1,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
316,0.7380952380952379,1.0,0.0,0.6666666666666667,0.0,0.75,0.6666666666666667,0.682201158504476,0.7777777777777777,1.0,0.0714285714285714,0.0,0.0,0.625,0.3333333333333333,0.17500000000000002,0.05555555555555555,0.0,0.4117647058823529,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
333,0.5952380952380951,1.0,0.2142857142857143,0.6666666666666667,0.0,0.5,0.0,0.4726698262243286,0.8888888888888888,0.0,0.3571428571428571,0.0,0.3333333333333333,0.25,0.16666666666666666,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
568,0.8809523809523809,1.0,0.03571428571428571,1.0,1.0,1.0,0.0,0.9926276987888362,0.5555555555555556,1.0,0.1428571428571428,0.0,0.3333333333333333,0.6000000000000001,0.3333333333333333,0.125,0.1111111111111111,0.06666666666666667,0.23529411764705882,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1799,0.4047619047619047,1.0,0.25,0.6666666666666667,1.0,0.5,0.0,0.48983675618746714,0.6666666666666666,0.0,0.2857142857142857,0.0,0.0,0.375,0.5,0.325,0.5555555555555556,0.3333333333333333,0.058823529411764705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
527,0.3333333333333333,1.0,0.3214285714285714,1.0,1.0,0.25,1.0,0.23101632438125333,0.1111111111111111,0.0,0.0714285714285714,0.0,0.0,0.25,0.3333333333333333,0.25,0.38888888888888884,0.0,0.47058823529411764,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
575,0.857142857142857,1.0,0.6428571428571428,1.0,0.0,0.25,0.0,0.23570300157977883,1.0,1.0,0.0,0.0,0.6666666666666666,0.225,0.6666666666666666,0.125,0.16666666666666666,0.06666666666666667,0.23529411764705882,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1798,0.4523809523809524,1.0,0.3214285714285714,1.0,1.0,0.5,0.6666666666666667,0.5012111637704055,0.1111111111111111,0.0,0.0,0.0,0.0,0.375,0.3333333333333333,0.25,0.3333333333333333,0.4666666666666667,0.29411764705882354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2307,0.14285714285714285,0.5,0.07142857142857142,0.0,1.0,0.0,0.0,0.1572933122696156,0.5555555555555556,0.0,0.1428571428571428,0.0,0.0,0.125,0.6666666666666666,0.05,0.1111111111111111,0.0,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,0.380952380952381,0.5,0.7857142857142857,0.0,0.0,0.25,0.3333333333333333,0.18915218536071618,0.0,1.0,0.7857142857142857,0.0,0.0,0.35000000000000003,0.16666666666666666,0.325,0.38888888888888884,0.5333333333333333,0.47058823529411764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2139,0.380952380952381,1.0,0.35714285714285715,0.6666666666666667,1.0,0.25,0.0,0.1691416535018431,0.1111111111111111,0.0,0.2857142857142857,0.0,0.0,0.225,0.5,0.15000000000000002,0.1111111111111111,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526,0.5952380952380951,0.5,0.10714285714285714,0.0,1.0,0.5,0.6666666666666667,0.506477093206951,0.3333333333333333,0.0,0.0714285714285714,0.0,0.0,0.42500000000000004,0.3333333333333333,0.225,0.05555555555555555,0.4,0.29411764705882354,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1836,0.23809523809523808,0.5,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.11500789889415483,0.1111111111111111,1.0,0.4285714285714285,0.0,0.0,0.2,0.5,0.1,0.1111111111111111,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0.16666666666666669,0.0,0.14285714285714285,0.3333333333333333,1.0,0.25,0.0,0.15750394944707743,0.1111111111111111,0.0,0.0714285714285714,0.0,0.6666666666666666,0.15000000000000002,0.3333333333333333,0.15000000000000002,0.16666666666666666,0.06666666666666667,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1469,0.380952380952381,1.0,0.25,0.3333333333333333,1.0,0.25,0.6666666666666667,0.17877830437072145,0.2222222222222222,0.0,0.0714285714285714,0.0,0.0,0.15000000000000002,0.5,0.1,0.16666666666666666,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2293,0.4047619047619047,1.0,0.2857142857142857,0.6666666666666667,1.0,0.5,0.0,0.4896787783043707,0.7777777777777777,0.0,0.3571428571428571,0.0,0.0,0.375,0.5,0.325,0.611111111111111,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1822,0.42857142857142855,0.5,0.10714285714285714,0.6666666666666667,1.0,0.25,0.0,0.4483412322274881,0.0,0.0,0.6428571428571427,0.0,0.0,0.2,0.3333333333333333,0.2,0.38888888888888884,0.26666666666666666,0.4117647058823529,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2085,0.14285714285714285,1.0,0.14285714285714285,0.3333333333333333,1.0,0.0,1.0,0.0043707214323328025,0.1111111111111111,0.0,0.4285714285714285,0.0,0.0,0.025,0.5,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1475,0.6904761904761905,1.0,0.17857142857142855,0.0,0.0,0.25,0.6666666666666667,0.22469720905739862,0.6666666666666666,0.0,0.2142857142857143,0.0,0.0,0.2,0.3333333333333333,0.125,0.2222222222222222,0.2,0.1764705882352941,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
